id,left (arch),left (os),left (compiler),right (arch),right (os),right (compiler),cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
499,arm64,darwin,gcc,arm64,linux,gcc,0.771221,0.772449,0.691444,0.729451,0.651244,0.572122,0.831325,0.652942
5,amd64,darwin,clang,amd64,linux,clang,0.860894,0.870828,0.800042,0.831599,0.779614,0.712816,0.926471,0.768535
50,amd64,darwin,gcc,amd64,windows,rs-sys,0.002796,0.002695,0.002388,0.002454,0.001766,0.001390,0.003014,0.001956
500,arm64,darwin,gcc,arm64,linux,go,0.025406,0.024219,0.021216,0.021814,0.015415,0.011769,0.027446,0.016735
501,arm64,darwin,gcc,arm64,linux,rs-pure,0.019164,0.018354,0.016172,0.016777,0.012022,0.009337,0.020402,0.013122
502,arm64,darwin,gcc,arm64,linux,rs-sys,0.019475,0.018685,0.016476,0.017121,0.012260,0.009499,0.020715,0.013395
503,arm64,darwin,gcc,arm64,linux,tgo,0.052378,0.049951,0.042937,0.044869,0.031525,0.024283,0.056884,0.033448
504,arm64,darwin,gcc,arm64,windows,clang,0.025260,0.024663,0.021523,0.023139,0.016463,0.012966,0.026569,0.018261
505,arm64,darwin,gcc,arm64,windows,gcc,0.602527,0.603360,0.534315,0.571284,0.500727,0.436728,0.644860,0.493713
506,arm64,darwin,gcc,arm64,windows,go,0.036715,0.035045,0.030892,0.031597,0.022992,0.017402,0.039678,0.024715
507,arm64,darwin,gcc,arm64,windows,msvc,0.474687,0.451804,0.383550,0.397776,0.302497,0.228354,0.530769,0.306099
508,arm64,darwin,gcc,arm64,windows,rs-pure,0.003207,0.003095,0.002690,0.002815,0.002040,0.001589,0.003464,0.002148
509,arm64,darwin,gcc,arm64,windows,rs-sys,0.003281,0.003171,0.002761,0.002888,0.002095,0.001633,0.003542,0.002212
51,amd64,darwin,gcc,arm64,darwin,clang,0.882045,0.834048,0.709029,0.764569,0.568061,0.454138,0.955224,0.611545
510,arm64,darwin,go,arm64,darwin,rs-pure,0.588419,0.624663,0.449821,0.542349,0.331137,0.242481,0.754783,0.349066
511,arm64,darwin,go,arm64,darwin,rs-sys,0.594587,0.631522,0.452309,0.547889,0.334054,0.244440,0.764188,0.351287
512,arm64,darwin,go,arm64,darwin,tgo,0.288692,0.292964,0.233370,0.255965,0.192395,0.153488,0.392772,0.189321
513,arm64,darwin,go,arm64,linux,clang,0.025908,0.025098,0.022093,0.023084,0.016710,0.013419,0.027800,0.018176
514,arm64,darwin,go,arm64,linux,gcc,0.030630,0.029593,0.025974,0.027118,0.019617,0.015562,0.032963,0.021039
515,arm64,darwin,go,arm64,linux,go,0.926512,0.916883,0.843415,0.875121,0.820663,0.754116,0.998411,0.787157
516,arm64,darwin,go,arm64,linux,rs-pure,0.596303,0.618825,0.454687,0.538133,0.331463,0.244589,0.744517,0.350615
517,arm64,darwin,go,arm64,linux,rs-sys,0.604423,0.626872,0.458057,0.544499,0.335208,0.247194,0.755929,0.353413
518,arm64,darwin,go,arm64,linux,tgo,0.349468,0.346113,0.269727,0.298839,0.219040,0.174249,0.481732,0.214678
519,arm64,darwin,go,arm64,windows,clang,0.767728,0.770921,0.504897,0.655955,0.384028,0.278405,0.969019,0.387221
52,amd64,darwin,gcc,arm64,darwin,gcc,0.945838,0.929385,0.883825,0.895762,0.802492,0.709957,0.971014,0.854902
520,arm64,darwin,go,arm64,windows,gcc,0.039195,0.037726,0.033246,0.034239,0.024921,0.019484,0.042494,0.026660
521,arm64,darwin,go,arm64,windows,go,0.624159,0.650586,0.530645,0.618155,0.452024,0.364963,0.690627,0.448829
522,arm64,darwin,go,arm64,windows,msvc,0.047936,0.045467,0.041226,0.041143,0.032087,0.025959,0.051628,0.033546
523,arm64,darwin,go,arm64,windows,rs-pure,0.106417,0.109894,0.078404,0.098120,0.059648,0.045751,0.126397,0.058861
524,arm64,darwin,go,arm64,windows,rs-sys,0.108811,0.112229,0.080165,0.100104,0.061025,0.046786,0.129261,0.060188
525,arm64,darwin,rs-pure,arm64,darwin,rs-sys,0.985272,0.984391,0.981109,0.982261,0.977944,0.975373,0.987710,0.977970
526,arm64,darwin,rs-pure,arm64,darwin,tgo,0.249893,0.236520,0.210147,0.209186,0.180985,0.145984,0.296463,0.174770
527,arm64,darwin,rs-pure,arm64,linux,clang,0.019426,0.019103,0.016548,0.017695,0.012928,0.010407,0.020983,0.013747
528,arm64,darwin,rs-pure,arm64,linux,gcc,0.023008,0.022224,0.019506,0.020281,0.015000,0.011994,0.024880,0.016061
529,arm64,darwin,rs-pure,arm64,linux,go,0.581799,0.622177,0.441813,0.537401,0.323790,0.234814,0.753586,0.342909
53,amd64,darwin,gcc,arm64,darwin,go,0.024640,0.023609,0.020567,0.021321,0.014715,0.011162,0.026608,0.016288
530,arm64,darwin,rs-pure,arm64,linux,rs-pure,0.956093,0.950032,0.899380,0.922292,0.869979,0.811578,0.986399,0.875758
531,arm64,darwin,rs-pure,arm64,linux,rs-sys,0.963064,0.954906,0.901386,0.923760,0.868031,0.807503,0.998501,0.872750
532,arm64,darwin,rs-pure,arm64,linux,tgo,0.299039,0.282043,0.247005,0.245503,0.206408,0.162944,0.363609,0.198575
533,arm64,darwin,rs-pure,arm64,windows,clang,0.680254,0.659321,0.555803,0.580993,0.431274,0.331189,0.778477,0.440129
534,arm64,darwin,rs-pure,arm64,windows,gcc,0.029527,0.028556,0.025146,0.025958,0.019049,0.015164,0.032074,0.020629
535,arm64,darwin,rs-pure,arm64,windows,go,0.462097,0.453300,0.376926,0.404120,0.256261,0.188059,0.521283,0.290597
536,arm64,darwin,rs-pure,arm64,windows,msvc,0.036630,0.034862,0.031801,0.031862,0.025049,0.020412,0.038969,0.026521
537,arm64,darwin,rs-pure,arm64,windows,rs-pure,0.152403,0.151269,0.127826,0.139353,0.106654,0.087882,0.167461,0.106262
538,arm64,darwin,rs-pure,arm64,windows,rs-sys,0.155824,0.154426,0.130663,0.142108,0.109008,0.089756,0.171253,0.108566
539,arm64,darwin,rs-sys,arm64,darwin,tgo,0.252869,0.239334,0.212550,0.211664,0.182990,0.147429,0.300152,0.176541
54,amd64,darwin,gcc,arm64,darwin,rs-pure,0.018682,0.017832,0.015782,0.016142,0.011527,0.008864,0.020084,0.012702
540,arm64,darwin,rs-sys,arm64,linux,clang,0.019680,0.019390,0.016763,0.018000,0.013121,0.010566,0.021244,0.013929
541,arm64,darwin,rs-sys,arm64,linux,gcc,0.023300,0.022543,0.019780,0.020610,0.015217,0.012181,0.025190,0.016306
542,arm64,darwin,rs-sys,arm64,linux,go,0.587780,0.628832,0.444155,0.542644,0.326780,0.237020,0.762974,0.344952
